ID,TITLE,LABEL
1,'It saved our business': Italy's farmers turn low into high with cannabis,1
2,Dyson to expand Wiltshire facility to boost electric-car tests,1
3,Fish populations could rise in warming climate with better management,1
4,California moves towards 100% carbon-free electricity after landmark vote,1
5,Macron has lost a minister. Has he lost credibility on the environment too?,-1
6,Global warming is intensifying El Niño weather,-1
7,"Climate change making drought worse, farmers' federation chief says",-1
8,Houses claimed by the canal: life on Egypt's climate change frontline,-1
9,Carmakers’ gaming of emissions tests ‘costing drivers billions’,-1
10,Ukip MEP sparks outrage with report denying human role in climate change,-1
11,Liberals and Labor neck and neck in byelection race for Turnbull's seat – poll,-1
12,'Apocalyptic threat': dire climate report raises fears for California's future,-1
13,'No real appetite': former farmers chief lashes ministers over climate link to drought,-1
14,Weatherwatch: climate change raises flood risks for river communities,-1
15,Climate change will make hundreds of millions more people nutrient deficient,-1
16,Trump’s Dirty Power Plan is much worse for kids’ health than for climate change,-1
17,"If we want strong climate action, we need to get the moderate Liberals on board",0
18,"Extreme weather could force food prices up 5% in UK, report says",-1
19,Rising veganism in the west has a downside,0
20,Climate change is real. We must not offer credibility to those who deny it,0
21,'Rain dancing 2.0': should humans be using tech to control the weather?,0
22,Letters: believe in change – for the better,0
23,"Rain brings relief in NSW and Queensland, but drought far from over",-1
24,Turnbull warns against ‘politics of race’ and says climate policy ‘very hard’ for Coalition,-1
25,"Climate change is melting the French Alps, say mountaineers",-1
26,Tropical disease outbreaks are growing threat in Europe as temperatures rise,-1
27,Sweden's reindeer at risk of starvation after summer drought,-1
28,Trump administration scraps Obama-era regulation on coal emissions,-1
29,Arctic’s strongest sea ice breaks up for first time on record,-1
30,Australia's climate wars: a decade of dithering – video,-1
31,Australia has no climate policy: a quick response to a drawn-out farce,-1
32,Capitalism alone cannot reverse climate change,-1
33,Summer weather is getting 'stuck' due to Arctic warming,-1
34,Turnbull just showed what happens when 'ideology and idiocy take charge of energy policy',-1
35,"Majority of UK public want to install solar panels, poll finds",1
36,Australian PM dumps key climate policy to stave off leadership revolt,-1
37,Politicians must set aside blinkered ideologies in the climate endgame,-1
38,"World is finally waking up to climate change, says 'hothouse Earth' author",0
39,It’s the end of the Earth as we know it. Read all about it!,1
40,Blow for EPA as court blocks bid to slacken safety rules for chemical plants,1
41,Turnbull ditches legislation for 26% emissions cut to head off backbench dissent,-1
42,"US interior secretary's school friend blocking climate research, scientists say",-1
43,'This summer doesn't belong in Scandinavia': your stories of heat around the world,-1
44,Capitalism can crack climate change. But only if it takes risks,0
45,Sydney rock oysters getting smaller as oceans become more acidic,-1
46,World weatherwatch: Iberia's terral blows in with oppressive heat,-1
47,Sea life in 'peril' as ocean temperatures hit all-time high in San Diego,-1
48,Humans are pushing the Earth closer to a climate cliff,-1
49,Sydney's bushfire season starts in winter: 'We may have to rethink how we live',-1
50,What would a heat-proof city look like?,0
51,Enough with the fairy tales about the Paris agreement. It's time for facts,-1
52,"Stop climate change, don’t ‘adapt’ to it",-1
53,Extreme temperatures 'especially likely for next four years',-1
54,'It can’t get much hotter ... can it?' How heat became a national US problem,-1
55,Which cities are liveable without air conditioning ... and for how much longer?,-1
56,An inversion of nature: how air conditioning created the modern city,-1
57,"Don't blame wildfires on climate change – it's environmentalists' fault, says Zinke",-1
58,Blow for coal power as EU carbon emissions price hits 10-year high,-1
59,"Trump reignited his war with California, but his bizarre tweet got burned",-1
60,Heat: the next big inequality issue,-1
61,Barnaby Joyce suggests people who shop at Kmart don't care about climate change,-1
62,Halfway to boiling: the city at 50C,-1
63,AI identifies heat-resistant coral reefs in Indonesia,1
64,People aren't the worst – they are the only hope for the planet,0
65,"Warmer seas will not lure great white sharks to UK, experts say",0
66,Rising sea levels leave Belgium’s St Tropez ‘fighting for its life’,-1
67,The chips are down in Belgium as heatwave hits supply of frites,-1
68,"As panic about climate change sets in, I’m thinking about escape – to Canada",0
69,What is the national energy guarantee? – video explainer,0
70,To the ends of the Earth: the activists risking their lives to defend the environment,-1
71,How we can save some of the jobs destroyed by rise of the machines,-1
72,From greenhouse to hothouse: the language of climate change,-1
73,Great Barrier Reef: former board member describes $444m grant as 'unthinkable',0
74,"With the world on fire, we must act now to tackle climate change",-1
75,"Reflecting sun's rays would cause crops to fail, scientists warn",-1
76,Record heatwave pushes hospitals into emergency measures,-1
77,Jimmy Kimmel on climate change: 'Somebody needs to get through to Trump',-1
78,Andrzej Krauze on the European heatwave – cartoon,0
79,"'It stinks': $444m grant to reef foundation is a scandal, Greens say",-1
