ID,TITLE,LABEL
0,"Scrap gas pipeline in eastern Med due to climate cost, says report",1
1,Centre-right thinktank warns Morrison government of 'grave future for coal exports',-1
2,2020 likely to be one of warmest years on record despite La Niña,-1
3,Labor agrees to support new gas projects after public brawl sparked by Joel Fitzgibbon,-1
4,Nationals call for ANZ boycott after bank's push for net zero emissions,-1
5,Marise Payne declines to welcome adoption of net zero emissions target by Japan and South Korea,-1
6,Global heating threatens UK wildlife’s ability to adapt and survive,-1
7,"Deluged by floods, America’s ‘oldest city' struggles to save landmarks from climate crisis",-1
8,South Korea vows to go carbon neutral by 2050 to fight climate emergency,1
9,"NSW environment minister urges end to 'pointless, backward-looking arguments' about climate action",1
10,Australian PM's office omits net zero emissions from account of Morrison's talk with Johnson,-1
11,Overwhelming majority believe Australia is already experiencing climate change,0
12,The ABC must be relevant to all – but that doesn't mean telling people what they want to hear,0
13,"ABC flagship current affair programs didn't cover climate change adequately, report finds",-1
14,Industrial emissions set to rise for another decade despite Coalition's pledge to cut carbon pollution,-1
15,BP warns of volatile future for oil market as it returns to profit,-1
16,Why Amy Coney Barrett's addition to supreme court may undermine climate fight,0
17,"Arctic methane deposits 'starting to release', scientists say",-1
18,"‘Old and unsafe’ cars sent to developing world fuelling air pollution, report finds",-1
19,A beloved Jamaican beach is succumbing to climate change. It won’t be the last,-1
20,BP leads energy companies preparing two major UK carbon capture projects,1
21,"Japan's net zero by 2050 pledge another warning to Australia on fossil fuels, analysts say",1
22,"Nine insect-eating bird species in Amazon in sharp decline, scientists find",-1
23,"Japan will become carbon neutral by 2050, PM pledges",1
24,It's your regular Arctic death-spiral update with Brenda the Civil Disobedience Penguin,0
25,Climate at a crossroads as Trump and Biden point in different directions,0
26,Feeling the heat over Arctic sea ice,-1
27,Republicans want to open pristine Alaska wilderness to logging. It's a tragedy,-1
28,Can California’s top wine region survive the era of megafire?,0
29,Arctic: Culture and Climate review – visions of a vanishing world,0
30,"Early warning: human detectors, drones and the race to control Australia’s extreme bushfires",0
31,The house that cork built: is this the ultimate eco-friendly material?,0
32,"'How do we become a serious people again?' Dave Eggers, Annie Proulx and more on the 2020 election",0
33,Mathias Cormann wants to be a chameleon on climate change when we've got a bin fire instead of a plan,0
34,Campaigners criticise global deal on carbon emissions from shipping,0
35,"After a category 5 hurricane, nature saved me. It has the power to save us all",1
36,Humanity has eight years to get climate crisis under control – and Trump's plan won't fix it,-1
37,Mathias Cormann talks up green recovery as part of his pitch to lead OECD,0
38,Alarm as Arctic sea ice not yet freezing at latest date on record,-1
39,Aggressive push to 100% renewable energy could save Americans billions – study,1
40,Australian company directors call for more infrastructure spending and a Green New Deal,0
41,Morrison government 'ignored' Climate Change Authority's advice on Covid recovery,-1
42,Greta Thunberg accuses MEPs of 'surrender on climate and environment',0
43,Climate science deniers to give road safety evidence to MPs,-1
44,Queensland 2030 climate target would be scrapped if LNP win election as state’s emissions rise,-1
45,Arctic review – stark eco warnings from the ice-braving hunters who battled whales,-1
46,10 million snowblowers? Last-ditch ideas to save the Arctic ice,0
47,75 ways Trump made America dirtier and the planet warmer,-1
48,"Climate finance driving poor countries deeper into debt, says Oxfam",-1
49,Uber pledges £5m toward electric vehicle charging points in London,1
50,Liberal MPs call for government to deny permit renewal that would allow drilling off NSW coastline,1
51,Big oil's answer to melting Arctic: cooling the ground so it can keep drilling,-1
52,Holiday Scomo or melting ice cap? Try these fun and spooky costume ideas for Halloween,0
53,"Make climate risk reports mandatory for 480 FTSE firms, say investors",1
54,"Sahel region is 'canary in the coalmine' on climate, says UN official",-1
55,"Leaded petrol, acid rain, CFCs: why the green movement can overcome the climate crisis",-1
56,Why there is hope that the world's coral reefs can be saved,1
57,Dying birds and the fires: scientists work to unravel a great mystery,0
58,Alaska's new climate threat: tsunamis linked to melting permafrost,0
59,The Bank must not fear radical action. Britain needs negative interest rates,0
60,Acting on climate change can get us out of recession. There are no excuses left,0
61,The week in audio: What Planet Are We On?; How to Save a Planet; Reading the Water – review,0
62,The tardigrade in the ice hole: how extreme life finds a way in the Arctic,1
63,Rowan Williams urges UK universities to divest from fossil fuels,1
64,"For Australia's sake, I hope Trump's climate science denialism loses",0
65,ExxonMobil misled the public about the climate crisis. Now they're trying to silence critics,-1
66,Freezing cold war: militaries move in as Arctic ice retreats – photo essay,0
67,Amy Coney Barrett: key moments from the supreme court confirmation hearings – video,0
